# Rime user dictionary
#@/db_name	custom_dict
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	176129
#@/user_id	5c7bd513-b581-4b5c-b06b-c0a120567e25
a 	呵	c=1 d=1 t=83579
dou bu dong 	都不動	c=1 d=1 t=85721
dou bu en n 	都不嗯嗯	c=1 d=1 t=27966
dou bu gan 	都不敢	c=1 d=1 t=54163
dou bu hao 	都不好	c=1 d=1 t=85751
dou bu hui 	都不回	c=1 d=1 t=120197
dou bu hui 	都不會	c=5 d=0.425283 t=176129
dou bu hui qu 	都不回去	c=1 d=1 t=105278
dou bu ka 	都不卡	c=1 d=1 t=47769
dou bu kai 	都不開	c=2 d=1 t=81499
dou bu kan 	都不看	c=1 d=1 t=32424
dou bu neng 	都不能	c=4 d=1 t=124248
dou bu pao 	都不跑	c=1 d=1 t=137383
dou bu qing chu 	都不清楚	c=1 d=1 t=55472
dou bu rang 	都不讓	c=2 d=1.27253 t=36788
dou bu shan 	都不刪	c=1 d=0.00600598 t=176129
dou bu shao qian 	都不少錢	c=1 d=1 t=82607
dou bu shi 	都不是	c=4 d=1 t=165856
dou bu xiang 	都不想	c=11 d=0.18452 t=176129
dou bu xie 	都不寫	c=3 d=0.069424 t=176129
dou bu xing 	都不行	c=6 d=2.44942e-10 t=176129
dou bu xuan 	都不選	c=1 d=1 t=149370
dou bu yi yang 	都不一樣	c=5 d=7.89067e-08 t=176129
dou bu yong 	都不用	c=3 d=1 t=113857
dou bu zai 	都不在	c=1 d=1 t=39437
dou bu zhi dao 	都不知道	c=10 d=1 t=111325
dou bu zhi de 	都不值得	c=1 d=1 t=82810
dou bu zhu 	兜不住	c=1 d=1 t=149845
dou bu zou 	都不走	c=2 d=1 t=88459
dou bu zuo 	都不坐	c=1 d=1 t=33183
dou can jia 	都參加	c=1 d=1 t=86802
dou cha 	都查	c=1 d=1 t=32786
dou cha bu duo 	都差不多	c=2 d=0.000652304 t=176129
dou chi 	都喫	c=2 d=1 t=100850
dou chi wan 	都喫完	c=1 d=1 t=120333
dou chong xie 	都重寫	c=1 d=1 t=164036
dou chu lai 	都出來	c=1 d=1 t=156945
dou cong 	都從	c=1 d=1 t=25433
dou cun wo zhe li 	都存我這裏	c=1 d=1 t=93682
dou dao 	都到	c=1 d=1 t=78973
dou deng zhe 	都等着	c=1 d=1 t=97611
dou di 	兜底	c=1 d=1 t=75432
dou dou 	痘痘	c=2 d=1 t=121753
dou dou 	豆豆	c=1 d=1 t=90454
dou dui 	都對	c=1 d=1 t=26065
dou fan hui 	都返回	c=1 d=1 t=94046
dou fu 	豆腐	c=0 d=0.1 t=140143
dou fu bao 	豆腐包	c=1 d=1 t=140144
dou fu bao 	都福報	c=1 d=1 t=140143
dou fu tang 	豆腐湯	c=2 d=1 t=154604
dou gai hao 	都改好	c=2 d=1 t=102981
dou gei 	都給	c=3 d=1 t=110978
dou gei ni 	都給你	c=1 d=1 t=38965
dou gei ta 	都給她	c=1 d=1 t=40119
dou gei wo 	都給我	c=2 d=1 t=142747
dou gen ni 	都跟你	c=1 d=1 t=57250
dou gen wo 	都跟我	c=2 d=1 t=106344
dou geng xin 	都更新	c=1 d=1 t=38802
dou gong 	斗栱	c=2 d=1 t=34665
dou guai 	都怪	c=1 d=1 t=157123
dou guai wo 	都怪我	c=1 d=1 t=171763
dou guo 	都過	c=3 d=1 t=104829
dou guo qu 	都過去	c=3 d=1 t=121044
dou hai 	都還	c=5 d=1 t=163776
dou hai mei 	都還沒	c=6 d=4.34096e-07 t=176129
dou hai mei chu lai 	都還沒出來	c=1 d=1 t=5585
dou hai mei dao 	都還沒到	c=1 d=1 t=173815
dou hai mei gen 	都還沒跟	c=1 d=1 t=86553
dou hai mei yong 	都還沒用	c=1 d=1 t=35008
dou hai mei you 	都還沒有	c=2 d=1 t=63670
dou hai mei zou 	都還沒走	c=1 d=1 t=101351
dou hai shi 	都還是	c=2 d=1 t=131220
dou hai xing 	都還行	c=1 d=1 t=34130
dou hai yao 	都還要	c=1 d=1 t=50785
dou hai you 	都還有	c=1 d=1 t=26299
dou hai zai 	都還在	c=3 d=1 t=147396
dou hao 	逗號	c=11 d=1 t=166410
dou hao kan 	都好看	c=1 d=1 t=125353
dou hei mei 	都黑莓	c=1 d=1 t=128467
dou hen 	都很	c=1 d=1 t=11575
dou hen shao 	都很少	c=1 d=1 t=67599
dou hua 	豆花	c=1 d=1 t=105956
dou huan cheng 	都換成	c=2 d=1 t=138156
dou huan yuan dao 	都還原到	c=1 d=1 t=47209
dou hui 	都會	c=8 d=1 t=164264
dou jia shang 	都加上	c=1 d=1 t=68421
dou jiang 	豆漿	c=5 d=1 t=164169
dou jin bu qu 	都進不去	c=1 d=1 t=70843
dou ka 	都卡	c=2 d=1 t=70204
dou kai 	抖開	c=2 d=1 t=104113
dou kai fa 	都開發	c=1 d=7.28524e-10 t=176129
dou kai shi 	都開始	c=1 d=1 t=48187
dou kan wan 	都看完	c=2 d=1 t=102232
dou kao 	都靠	c=1 d=1 t=75429
dou ke 	都可	c=1 d=1 t=80633
dou ke ai 	都可愛	c=1 d=1 t=125354
dou ke yi 	都可以	c=7 d=7.79464e-11 t=176129
dou kuai 	都快	c=8 d=1 t=126714
dou kuai qian 	都塊錢	c=1 d=1 t=100373
dou lai 	都來	c=6 d=1.91393 t=156220
dou lan de 	都懶得	c=1 d=1 t=72320
dou lei 	都累	c=1 d=1 t=108664
dou li 	兜裏	c=3 d=1 t=74083
dou liu xia 	都留下	c=1 d=1 t=42947
dou mei 	都沒	c=76 d=2.15316e-06 t=176129
dou mei chi 	都沒喫	c=3 d=1 t=169617
dou mei dong 	都沒動	c=1 d=1 t=22571
dou mei gai 	都沒改	c=1 d=1 t=90688
dou mei gei ni 	都沒給你	c=1 d=1 t=21664
dou mei ka 	都沒卡	c=1 d=1 t=165357
dou mei kan 	都沒看	c=1 d=1 t=128001
dou mei lai 	都沒來	c=2 d=1 t=64497
dou mei na 	都沒拿	c=1 d=1 t=22999
dou mei qian dao 	都沒簽到	c=1 d=1 t=6848
dou mei qu 	都沒去	c=1 d=1 t=61902
dou mei ren 	都沒人	c=11 d=1 t=159169
dou mei sha 	都沒啥	c=1 d=1 t=127943
dou mei shi jian 	都沒時間	c=1 d=1 t=67574
dou mei shui jiao 	都沒睡覺	c=1 d=1 t=106202
dou mei xi 	都沒洗	c=1 d=1 t=67579
dou mei xie 	都沒寫	c=2 d=1 t=66629
dou mei yao 	都沒要	c=1 d=1 t=111086
dou mei you 	都沒有	c=46 d=0.000578542 t=176129
dou mei za 	都沒咋	c=1 d=1 t=47171
dou mei zhong 	都沒中	c=1 d=1 t=151831
dou na 	都拿	c=0 d=0.1 t=27240
dou na bu 	都拿不	c=1 d=1 t=27241
dou nan 	都難	c=1 d=1 t=28554
dou neng 	都能	c=17 d=1.37096e-06 t=176129
dou neng gou 	都能夠	c=0 d=0.1 t=75507
dou ni 	逗你	c=1 d=1 t=21448
dou pao 	都跑	c=1 d=2.1401e-10 t=176129
dou qing chu 	都清除	c=1 d=1 t=112572
dou qu 	都去	c=5 d=1 t=82583
dou rang ni 	都讓你	c=1 d=1 t=33818
dou ren wei 	都認爲	c=1 d=1 t=149945
dou shan chu 	都刪除	c=2 d=1 t=153536
dou shang 	都上	c=1 d=1 t=73834
dou shang lai 	都上來	c=1 d=1 t=43955
dou shang xian 	都上線	c=1 d=1 t=84385
dou she zhi 	都設置	c=1 d=1 t=11901
dou shi 	都是	c=219 d=0.20498 t=176129
dou shi ge 	都是個	c=1 d=1 t=47277
dou shi xia 	都試下	c=2 d=1 t=115643
dou shi xie 	都是些	c=2 d=1 t=116964
dou shuo 	都說	c=12 d=9.42566e-11 t=176129
dou suan 	都算	c=1 d=1 t=28187
dou tian 	都甜	c=1 d=1 t=13260
dou tui 	抖腿	c=1 d=3.55529e-11 t=176129
dou wan 	都玩	c=1 d=1 t=104378
dou wen 	都問	c=1 d=1 t=73658
dou wo wan 	逗我玩	c=1 d=1 t=47320
dou xi huan 	都喜歡	c=2 d=1 t=34614
dou xian mu 	都羨慕	c=1 d=1 t=85125
dou xiang 	都想	c=5 d=1 t=133859
dou xie 	都寫	c=1 d=1 t=89058
dou xie de 	都寫的	c=1 d=1 t=23042
dou xie hao 	都寫好	c=1 d=1 t=132919
dou xing 	都行	c=27 d=5.43721e-09 t=176129
dou xu yao 	都需要	c=1 d=1 t=12298
dou yao 	都要	c=53 d=0.198769 t=176129
dou yao qu 	都要去	c=1 d=1 t=43747
dou ye 	都也	c=1 d=1 t=34030
dou yi ge 	都一個	c=1 d=1 t=63713
dou yi jing 	都已經	c=2 d=1 t=132005
dou yi yang 	都一樣	c=10 d=2.96862e-07 t=176129
dou yin 	抖音	c=19 d=1 t=148048
dou yong 	都用	c=1 d=1 t=98949
dou yong bu wan 	都用不完	c=1 d=1 t=146871
dou you 	都有	c=35 d=0.00355287 t=176129
dou you de 	都有的	c=1 d=1 t=31906
dou you dian 	都有點	c=1 d=1 t=35985
dou you shi er 	都有事兒	c=1 d=1 t=76057
dou you wen ti 	都有問題	c=2 d=1 t=57947
dou you xiao 	都有效	c=1 d=1 t=113866
dou you yi ge 	都有一個	c=1 d=1 t=97810
dou zai 	都在	c=57 d=3.28194e-11 t=176129
dou zai na er 	都在那兒	c=1 d=1 t=115442
dou zhe yang 	都這樣	c=1 d=1 t=105417
dou zheng chang 	都正常	c=1 d=1 t=134216
dou zheng li 	都整理	c=1 d=1 t=143664
dou zhi ci 	都致辭	c=1 d=1 t=14419
dou zhi dao 	都知道	c=2 d=1 t=149820
dou zhi jie 	都直接	c=1 d=1 t=171629
dou zhi neng 	都只能	c=1 d=1 t=164318
dou zhi pin 	豆製品	c=1 d=1 t=26506
dou zi 	豆子	c=4 d=1.97045 t=174675
dou zou 	都走	c=1 d=1 t=119990
dou zuo 	都做	c=2 d=1 t=160089
dou zuo man 	都坐滿	c=1 d=1 t=135838
dou zuo wan 	都做完	c=3 d=1 t=140085
du 	堵	c=15 d=3.29727e-07 t=176129
du 	度	c=7 d=1 t=161767
du 	杜	c=1 d=1 t=161146
du 	毒	c=1 d=1 t=29658
du 	獨	c=1 d=1 t=47820
du 	讀	c=1 d=1 t=68493
du ban 	督辦	c=5 d=1 t=166171
du che 	堵車	c=10 d=1.09221 t=141087
du cuo 	讀錯	c=1 d=1 t=18799
du kou 	渡口	c=1 d=1 t=133914
du li 	獨立	c=1 d=1 t=73873
du miao ru nian 	度秒如年	c=1 d=1 t=121364
du qu 	讀取	c=1 d=1 t=12867
du shou kong fang 	獨守空房	c=1 d=1 t=75325
du shu 	度數	c=1 d=1 t=99140
du shu 	讀書	c=1 d=1 t=99139
du si 	堵死	c=1 d=1 t=31487
du zhu 	堵住	c=2 d=1 t=135731
du zi 	獨自	c=1 d=1.05982e-08 t=176129
du zi 	肚子	c=16 d=1.14567e-05 t=176129
du zi li mian 	獨自裏面	c=1 d=1.06513e-07 t=176129
du zi teng 	肚子疼	c=3 d=1 t=141730
duan 	斷	c=6 d=0.000550326 t=176129
duan 	段	c=3 d=1 t=158319
duan 	端	c=27 d=0.367879 t=176129
duan dian 	斷點	c=1 d=1 t=138934
duan duan 	短短	c=1 d=1 t=78705
duan duan xu xu 	斷斷續續	c=2 d=1 t=146100
duan kai 	斷開	c=21 d=1.14168 t=83694
duan kou 	斷口	c=1 d=1 t=43864
duan kou 	端口	c=5 d=1 t=52223
duan ku 	短褲	c=1 d=1 t=23708
duan lu 	短路	c=1 d=1 t=16936
duan pian 	短篇	c=1 d=1 t=161390
duan qian 	斷簽	c=5 d=1 t=16553
duan wang 	斷網	c=1 d=1 t=13870
duan wu 	端午	c=2 d=1.98511 t=5335
duan xin 	短信	c=20 d=0.470011 t=176129
duan xiu 	斷袖	c=4 d=1 t=161300
duan zan 	短暫	c=2 d=1 t=90412
duan zi 	段子	c=1 d=1 t=161331
dui 	兌	c=4 d=1 t=107589
dui 	堆	c=1 d=7.81082e-06 t=176129
dui 	對	c=348 d=0.146741 t=176129
dui 	懟	c=9 d=1 t=167033
dui a 	對啊	c=16 d=0.0354384 t=176129
dui ba 	對吧	c=1 d=1 t=166254
dui bi 	對比	c=5 d=1 t=148293
dui bi xia 	對比下	c=2 d=1.00628 t=75426
dui biao 	對錶	c=1 d=1 t=24616
dui bu 	對不	c=1 d=1 t=45786
dui bu dui 	對不對	c=4 d=1 t=162848
dui bu qi 	對不起	c=42 d=1 t=168499
dui bu qi dui bu qi 	對不起對不起	c=1 d=1 t=128923
dui bu shang 	對不上	c=12 d=1.05931 t=167534
dui ce 	對策	c=1 d=1 t=52066
dui de 	對的	c=7 d=1 t=149978
dui de ni 	對的呢	c=2 d=0.1 t=133960
dui diao 	對調	c=1 d=1 t=69311
dui die 	堆疊	c=1 d=1 t=86474
dui dui 	對對	c=2 d=0.00029902 t=176129
dui dui dui 	對對對	c=11 d=1 t=162477
dui dui dui 	懟懟懟	c=1 d=1 t=36416
dui ge ren 	懟個人	c=1 d=1 t=52264
dui hua 	對話	c=1 d=1 t=88523
dui huan 	兌換	c=61 d=1 t=140576
dui huan hou 	兌換後	c=1 d=1 t=19674
dui jie 	對戒	c=1 d=1 t=65795
dui jie 	對接	c=28 d=5.46452e-07 t=176129
dui jie qun 	對接羣	c=1 d=1 t=14636
dui lie 	隊列	c=4 d=3.87878 t=62771
dui man 	堆滿	c=1 d=0.00719046 t=176129
dui mian 	對面	c=6 d=1 t=161543
dui ni 	對你	c=8 d=1.26847 t=175816
dui ren 	對人	c=1 d=1 t=52252
dui ren 	懟人	c=1 d=1 t=52253
dui shang 	對上	c=2 d=1 t=159181
dui shi 	對視	c=1 d=1 t=17566
dui ta 	懟他	c=2 d=1 t=143274
dui tian dui di dui kong qi 	懟天懟地懟空氣	c=1 d=1 t=36417
dui wai 	對外	c=6 d=1 t=76239
dui wan 	兌完	c=1 d=1 t=63711
dui wo 	對我	c=5 d=1 t=129060
dui wu 	隊伍	c=1 d=1 t=19941
dui xi tong 	對系統	c=1 d=1 t=135656
dui xia 	對下	c=4 d=1 t=165052
dui xian 	兌現	c=1 d=1 t=91574
dui xian 	對線	c=1 d=1 t=32193
dui xiang 	對象	c=21 d=1 t=100952
dui xu qiu 	對需求	c=1 d=1 t=71903
dui ya 	對呀	c=53 d=0.907098 t=176129
dui ye wu 	對業務	c=1 d=1 t=33322
dui yi dui 	對一對	c=1 d=1 t=35505
dui ying 	對應	c=21 d=1 t=173631
dui yo 	對喲	c=1 d=1 t=147608
dui yu 	對於	c=1 d=1 t=8531
dui zhan 	堆棧	c=1 d=1 t=152882
dui zhang 	對賬	c=1 d=1 t=15060
dui zhao zhe 	對照着	c=1 d=1 t=39484
dui zhe 	對着	c=1 d=1 t=39479
dui zhe ge 	對這個	c=1 d=1 t=55470
dun 	墩	c=1 d=1 t=75761
dun 	燉	c=5 d=1 t=161044
dun 	盾	c=2 d=1.8781 t=88724
dun 	蹲	c=20 d=1.97045 t=158159
dun 	頓	c=2 d=1 t=86847
dun fan 	頓飯	c=0 d=0.1 t=17023
dun jiu 	蹲久	c=1 d=1 t=158169
dun keng 	蹲坑	c=5 d=1 t=158148
dun shi 	頓時	c=1 d=1 t=27085
duo 	多	c=290 d=0.019278 t=176129
duo ba 	多吧	c=1 d=1 t=53025
duo bao yu 	多寶魚	c=1 d=1 t=32896
duo bi 	多筆	c=4 d=1.02178 t=15940
duo bu duo 	多不多	c=5 d=1 t=121693
duo chang 	多長	c=4 d=1 t=159231
duo chi 	多喫	c=1 d=1 t=139491
duo chi dian 	多喫點	c=3 d=2.24356e-05 t=176129
duo chou 	多臭	c=2 d=1 t=66937
duo chu lai 	多出來	c=1 d=1 t=121630
duo chu qian 	多出錢	c=1 d=1 t=128036
duo ci 	多次	c=1 d=1 t=142793
duo ci 	多此	c=7 d=1 t=157398
duo da 	多大	c=12 d=0.0507928 t=176129
duo de 	多的	c=4 d=1 t=83137
duo de hen 	多的很	c=3 d=1 t=91353
duo dian 	多點	c=6 d=1 t=100392
duo du 	多度	c=4 d=1 t=169367
duo duan 	多端	c=1 d=1 t=119039
duo duo 	多多	c=1 d=1.02429 t=10720
duo fang bian 	多方便	c=1 d=1 t=56568
duo fen 	多份	c=1 d=1 t=74727
duo fen 	多分	c=1 d=1 t=8803
duo fen zhong 	多分鐘	c=6 d=1 t=154048
duo gan 	多幹	c=1 d=1.01335e-09 t=176129
duo gan ga 	多尷尬	c=1 d=1 t=5043
duo gao 	多高	c=1 d=1 t=161851
duo ge 	多個	c=41 d=1 t=174308
duo ge ren 	多個人	c=2 d=0.0459593 t=176129
duo gei ni 	多給你	c=1 d=1 t=77783
duo gei wo 	多給我	c=1 d=1 t=84550
duo gen 	多跟	c=1 d=1 t=33997
duo gong li 	多公里	c=1 d=1 t=175548
duo gui 	多貴	c=1 d=1 t=38640
duo hang 	多行	c=2 d=1.85214 t=85468
duo hao 	多好	c=3 d=1.04832 t=112976
duo hao kan 	多好看	c=2 d=1 t=170596
duo hao ren 	多號人	c=1 d=1 t=130852
duo he 	多喝	c=1 d=1 t=141949
duo he 	多核	c=1 d=1 t=13596
duo he 	多盒	c=1 d=1 t=147260
duo he dian 	多喝點	c=2 d=1 t=141745
duo he shui 	多喝水	c=3 d=1 t=152001
duo hua 	多花	c=1 d=1 t=100371
duo hua suan 	多划算	c=1 d=1 t=36832
duo huo 	多活	c=1 d=1 t=47279
duo ji 	多級	c=3 d=1.79128 t=92264
duo jia 	多加	c=4 d=1.00165 t=152507
duo jia dian 	多夾點	c=1 d=1 t=90219
duo jian 	多件	c=2 d=4.27956e-10 t=176129
duo jiu 	多久	c=37 d=1 t=171518
duo kai 	躲開	c=1 d=1 t=134154
duo kan kan 	多看看	c=2 d=1.11248 t=16237
duo ke 	多克	c=2 d=1 t=174107
duo kuai 	多塊	c=2 d=1 t=108200
duo kuai qian 	多塊錢	c=16 d=1 t=162834
duo lai 	多來	c=1 d=1 t=12801
duo le 	多了	c=3 d=1 t=142074
duo lei 	多累	c=1 d=1 t=49933
duo ma fan 	多麻煩	c=1 d=1 t=121641
duo mai 	多買	c=1 d=1 t=77567
duo mai dian 	多買點	c=4 d=1 t=147449
duo nian 	多年	c=2 d=1.88692 t=139410
duo nian 	躲年	c=1 d=1 t=139385
duo nong 	多弄	c=2 d=0.105248 t=134861
duo pao chu lai 	多跑出來	c=1 d=1 t=154627
duo qian 	多錢	c=1 d=1 t=40190
duo ren 	多人	c=8 d=0.0049667 t=176129
duo shao 	多少	c=74 d=1 t=174957
duo shao 	多燒	c=8 d=1 t=34349
duo shao ge 	多少個	c=3 d=1.9802 t=159355
duo shao nian 	多少年	c=1 d=1 t=78232
duo shao qian 	多少錢	c=26 d=1.24973e-05 t=176129
duo shao ren 	多少人	c=1 d=1 t=51744
duo shao xiao yi 	多少效益	c=1 d=1 t=109840
duo shou 	多收	c=1 d=1 t=123684
duo shu fu 	多舒服	c=2 d=1 t=96366
duo shu ju 	多数据	c=9 d=3.46222 t=148669
duo sui 	多歲	c=0 d=0.1 t=81624
duo sui le 	多歲了	c=1 d=1 t=81625
duo tian 	多天	c=1 d=1 t=38087
duo tiao 	多條	c=5 d=1 t=171034
duo tiao jian 	多條件	c=1 d=1 t=163925
duo wan 	多晚	c=1 d=1 t=146442
duo wan 	多萬	c=9 d=1.9027 t=167256
duo wan hui er 	多玩會兒	c=1 d=1 t=120950
duo wen 	多問	c=1 d=1 t=15746
duo xian cheng 	多線程	c=3 d=1.58758 t=166342
duo xiang 	多想	c=1 d=1 t=146290
duo xiao 	多小	c=2 d=1 t=170590
duo xiao shi 	多小時	c=10 d=1.0209e-08 t=176129
duo xing qi 	多星期	c=2 d=1 t=145623
duo xuan 	多選	c=3 d=1.63763 t=126022
duo yao dian 	多要點	c=1 d=1 t=40153
duo yi dian 	多一點	c=3 d=1.41661e-09 t=176129
duo yu 	多餘	c=5 d=5.10663e-06 t=176129
duo yuan 	多遠	c=1 d=1 t=64651
duo yue 	多月	c=10 d=1.01832 t=162267
duo yue le 	多月了	c=1 d=1 t=67449
duo zai 	多在	c=1 d=1 t=46894
duo zai 	躲在	c=1 d=1 t=46893
duo zhe 	多着	c=1 d=1 t=33865
duo zhong 	多重	c=1 d=1 t=88996
duo zhu ce 	多註冊	c=1 d=1 t=20366
duo zui 	多嘴	c=1 d=1 t=4991
duo zuo 	多做	c=1 d=1 t=41817
e 	俄	c=1 d=1 t=8572
e 	惡	c=1 d=1 t=113432
e 	鄂	c=0 d=0.1 t=27276
e 	餓	c=94 d=1.17925 t=174687
e bu e 	餓不餓	c=4 d=1 t=133903
e bu si 	餓不死	c=1 d=1 t=16227
e de 	餓得	c=2 d=1 t=63203
e du 	額度	c=1 d=1 t=6591
e jiao 	阿膠	c=1 d=1 t=40009
e kou 	惡口	c=0 d=0.1 t=149169
e le me 	餓了麼	c=10 d=1.9802 t=125278
e lie 	惡劣	c=1 d=1 t=103711
e meng 	噩夢	c=4 d=1 t=81927
e mi guan xi 	餓米關係	c=1 d=1 t=118162
e si 	餓死	c=2 d=1.89137 t=23124
e tou 	額頭	c=1 d=1 t=142471
e xi 	惡習	c=2 d=1 t=28766
e xi bei 	鄂西北	c=1 d=1 t=27277
e xin 	噁心	c=53 d=1 t=169196
e xin che liang 	噁心車輛	c=2 d=1 t=165748
e ya 	餓呀	c=1 d=1 t=88872
ei 	誒	c=0 d=0.1 t=149866
ei wo 	誒我	c=1 d=1 t=106814
ei ya 	誒呀	c=1 d=1 t=99024
en 	嗯	c=142 d=1.52808 t=176129
en 	恩	c=1 d=0.000804733 t=176129
en 	摁	c=1 d=1 t=84108
en ai 	恩愛	c=0 d=0.1 t=87182
en ai le 	恩愛了	c=1 d=1 t=87183
en la 	嗯啦	c=182 d=1.0067 t=175994
en la 	嗯拉	c=99 d=1 t=131699
en la 	恩啦	c=5 d=8.27663e-11 t=176129
en la en lai 	嗯拉嗯來	c=1 d=1 t=92702
en lai 	嗯來	c=5 d=0.100006 t=92701
en na 	恩納	c=1 d=1 t=70946
en na ge 	嗯那個	c=4 d=1 t=175866
en ni 	嗯呢	c=1 d=1 t=77385
er 	二	c=3 d=7.01532e-07 t=176129
er 	兒	c=71 d=0.0116665 t=176129
er 	爾	c=1 d=1 t=174557
er ci 	二次	c=23 d=1.26222 t=174946
er deng 	二等	c=0 d=0.1 t=69295
er deng zuo 	二等坐	c=1 d=1 t=69296
er ding 	耳釘	c=2 d=1.00055 t=72115
er ge 	二個	c=1 d=0.1 t=113037
er ge 	二哥	c=1 d=1 t=47310
er guo tou 	二鍋頭	c=1 d=1 t=98998
er huan 	耳環	c=3 d=1 t=140153
er ji 	二級	c=9 d=1.85565 t=145423
er ji 	耳機	c=17 d=1.80654 t=154760
er jin gong 	二進宮	c=0 d=7.63769e-08 t=176129
er nian 	二年	c=1 d=1 t=71971
er pang feng 	耳旁風	c=1 d=1 t=163720
er qi 	而起	c=4 d=1.9802 t=86222
er qian wan qian wan 	兒千萬千萬	c=2 d=1.99501 t=134330
er qie 	而且	c=54 d=0.373439 t=176129
er san shi 	二三十	c=1 d=1 t=119844
er shi 	二十	c=3 d=1 t=107498
er shi 	而是	c=1 d=1.71688e-06 t=176129
er shi ba 	二十八	c=1 d=1 t=118954
er shi liu 	二十六	c=5 d=1.00003 t=124443
er shi wu 	二十五	c=1 d=1 t=118949
er shou che 	二手車	c=1 d=1 t=51629
er sun 	兒孫	c=2 d=1.99005 t=59004
er tai 	二胎	c=1 d=1 t=172349
er wei ma 	二維碼	c=1 d=1 t=166834
er yao 	二要	c=0 d=0.1 t=36143
er yao su 	二要素	c=2 d=1.9802 t=36148
er yi 	而以	c=4 d=1 t=76197
er zhui 	耳墜	c=1 d=1 t=66740
er zi 	兒子	c=92 d=0.29662 t=176129
er zi men 	兒子們	c=1 d=1 t=69713
er zi meng 	兒子夢	c=10 d=1 t=159936
fa 	乏	c=1 d=1 t=51093
fa 	法	c=2 d=1 t=108036
fa 	發	c=437 d=1.22908 t=176129
fa a fa 	發阿伐	c=1 d=1 t=58181
fa an 	發案	c=0 d=0.1 t=171250
fa an de 	發案的	c=1 d=1 t=171251
fa ben 	法本	c=1 d=1 t=7046
fa biao 	發表	c=5 d=3.76211 t=76134
fa bu 	發不	c=1 d=1 t=174607
fa bu 	發佈	c=270 d=0.305391 t=176129
fa bu chu lai 	發佈出來	c=1 d=1 t=129314
fa bu dao 	發佈到	c=1 d=1 t=41083
fa bu fa 	發不發	c=2 d=1 t=165727
fa bu hui 	發佈會	c=6 d=1 t=151921
fa bu ren 	發佈人	c=1 d=1 t=71045
fa bu shang xian 	發佈上線	c=1 d=1 t=48117
fa bu xia 	發佈下	c=2 d=1 t=164886
fa cai 	發財	c=3 d=1 t=125377
fa ce shi 	發測試	c=11 d=4.62211e-10 t=176129
fa chu 	發出	c=3 d=1 t=76240
fa chu lai 	發出來	c=12 d=1.43605 t=134498
fa chu qu 	發出去	c=1 d=1 t=118558
fa cuo 	發錯	c=9 d=1 t=167156
fa da 	發達	c=1 d=1 t=156531
fa dao 	發到	c=15 d=1.84196e-08 t=176129
fa dao fa 	發到發	c=1 d=1 t=111209
fa de 	發的	c=14 d=2.36477e-08 t=176129
fa de shuo fa 	發的說法	c=2 d=1.08958 t=90919
fa dian suo 	發電所	c=2 d=1 t=90900
fa diao 	發掉	c=9 d=0.173941 t=176129
fa ding 	法定	c=1 d=1 t=123664
fa dong ji 	發動機	c=2 d=1 t=21364
fa duan xin 	發短信	c=2 d=1.95123 t=38553
fa fang 	發放	c=2 d=8.19428e-11 t=176129
fa fang shi de fa 	發放是的發	c=1 d=1 t=58379
fa ge 	發個	c=16 d=5.17115e-07 t=176129
fa gei 	發給	c=13 d=1 t=144555
fa gei ni 	發給你	c=3 d=1 t=132947
fa gei ta 	發給他	c=2 d=1 t=144040
fa gei wo 	發給我	c=2 d=1 t=115716
fa gong zi 	發工資	c=8 d=1 t=161705
fa guo 	發過	c=2 d=1 t=176115
fa guo lai 	發過來	c=6 d=1 t=172134
fa guo qu 	發過去	c=3 d=1 t=122774
fa hao 	發好	c=1 d=1 t=103629
fa hao 	發號	c=24 d=0.469723 t=173142
fa hao shao 	發號少	c=1 d=1 t=173143
fa hong bao 	發紅包	c=1 d=1 t=169146
fa hua 	發話	c=0 d=0.1 t=76867
fa huang 	發慌	c=2 d=1 t=161678
fa hui 	發揮	c=0 d=0.000394621 t=176129
fa hui xia 	發揮下	c=1 d=0.00396599 t=176129
fa huo 	發貨	c=17 d=1.59231e-08 t=176129
fa huo di 	發貨低	c=1 d=1 t=64142
fa huo jia 	發貨價	c=6 d=7.26491e-08 t=176129
fa ka 	發卡	c=1 d=1 t=165486
fa lai 	發來	c=9 d=0.000144103 t=176129
fa lv 	法律	c=1 d=1 t=175595
fa ma 	發麻	c=1 d=1 t=39293
fa ma 	砝碼	c=1 d=1 t=39292
fa mei fa 	發沒發	c=1 d=1 t=117560
fa ni 	發你	c=6 d=1.00002 t=151229
fa ni men 	發你們	c=1 d=0.00016826 t=176129
fa ni xia 	發你下	c=1 d=1 t=108195
fa piao 	發票	c=9 d=1 t=108182
fa qi 	發起	c=51 d=0.0335459 t=176129
fa qi ren 	發起人	c=6 d=1.73712 t=98420
fa qi xia 	發起下	c=1 d=1 t=17372
fa re 	發熱	c=5 d=1 t=125099
fa ren 	發人	c=1 d=1 t=40661
fa shang qu 	發上去	c=11 d=1.13234 t=170506
fa shao 	發燒	c=9 d=1.06457 t=173144
fa sheng 	發生	c=2 d=0.1 t=154666
fa sheng de 	發生地	c=2 d=0.1 t=174428
fa song 	發送	c=36 d=0.1 t=169562
fa song ren 	發送人	c=13 d=1 t=158920
fa wan 	發完	c=10 d=1 t=167792
fa wo 	發我	c=70 d=0.000241172 t=176129
